sid	lid	label	triple	sub	summary	summaryJa	emoji	subJa
mith	monster-in-the-house	Monster In The House	Monster,House,Sin	pure-monster,domestic-monster,serial-monster,supra-natural-monster,nihilist-monster	Someone Sin brings a monster to the house	誰かが何かの罪を犯して安全地帯に危険を持ち込む	😈	純粋な怪物,家庭内に入る怪物,連続殺人鬼,超常現象,狂気殺人鬼
gf	golden-fleece	Golden Fleece	Road,Team,Prize	sports-fleece,buddy-fleece,epic-fleece,caper-fleece,solo-fleece	The protagonist travels by the team and grows with new technologies, experiences, attitudes, etc. and gains award	主人公はチームによって導かれ旅をし新たな技術・経験・態度などを体得して成長し、賞を得る（家に帰る、宝を得る、生存権を得る等）	🐑	スポーツ,相棒,叙事詩（歴史的事件、英雄譚）,強盗,伝記
ootb	out-of-the-bottle	Out of the Bottle	Wish,Spell,Lesson	body-switch-bottle,angel-bottle,thing-bottle,curse-bottle,surreal-bottle	Learn lessons in a terrible situation due to the rules that should be activated and protected according to the hero's wishes	主人公の願いに応じて呪文が発動し守られるべきルールが敷かれ酷い事態になって教訓を学ぶ	📜	人格入替,天使,物,呪い,シュール（非現実的）
dwap	dude-with-a-problem	Dude with a Problem	Innocent Hero,Sudden Event,Life or Death Battle	spy-problem,law-enforcement-problem,domestic-problem,epic-problem,nature-problem	The innocent hero gets involved in a battle that bets on life and death by a sudden event	無垢な主人公が突然の出来事により生死を賭けた戦いに巻き込まれる	⚔️	スパイ,法的処置（困難に立ち向かい正義を貫く）,家庭,叙事詩（歴史的事件、英雄譚）,自然災害
rop	rites-of-passage	Rites of Passage	Life Problem,Wrong Way,Acceptance	mid-life-passage,separation-passage,death-passage,addiction-passage,adolescent-passage	Passing ceremony. Even though he approaches the mysterious difficulties in life, they accept the truth and change themselves, not the world.	通過儀礼。人生における不可解な困難に対して間違ったアプローチをするも、真実を受け入れて世界でなく自分を変える。	👶	中年,分離,死,依存症,思春期
bl	buddy-love	Buddy Love	Incomplete Hero,Counterpart,Complication	pet-love,professional-love,rom-com-love,epic-love,forbidden-love	Love with my partner. The protagonist, who lacks something, has complex problems such as meeting the other person who supplements it, misunderstanding, differences in ethics, values and views, and dismissal by social rude.	相棒愛。何かが欠けている主人公は、それを補う相手と出会い、誤解、倫理・価値観・見解の相違、壮大な歴史的事件、社会的無礼による不承認などの複雑な問題が起きる。	💑	ペット,職業,ロマンティックコメディ,叙事詩（歴史的事件、英雄譚）,禁断
wd	whydunit	WhyDunit	Detective,Secret,Dark Turn	political-whydunit,fantasy-whydunit,cop-whydunit,personal-whydunit,noir-whydunit	Detectives overwhelm all the secular temptation to explore the secrets, and finally break the rules.	探偵が秘密を探るため、あらゆる世俗的な誘惑すらも圧倒して、ついには規則すら破る。	🕵	政治,幻想,警官,個人,フィルム・ノワール（破滅的、悲観的、犯罪）
ft	fool-triumphant	Fool Triumphant	Fool,Establishment,Transmutation	political-fool,undercover-fool,society-fool,fool-out-of-water,sex-fool	An innocent and stupid hero is sent to a place that does not suit him, but is reborn by accident, impersonation, misunderstanding, etc.	無邪気で愚かな主人公は彼に合わない場所に送られるも偶然・偽装・誤解などによって生まれ変わる	🤡	政治,おとり捜査（なりすまし,身分詐称）,社会,人を笑いものにする,性
i	institutionalized	Institutionalized	Group,Choice,Sacrifice	military-institution,family-institution,business-institution,mentor-institution,issue-institution	Something group is forced to make a great choice and sacrifice (conflict with family and organizations, etc., and finally the protagonist is sacrificed, such as participating in the organization, committing suicide, or burning an organization).	何らかのグループによって大きな選択を迫られ犠牲を払う（家族や組織などとの間で対立し、最後に主人公は組織に参加するか、自殺するか、組織を燃やすなどの犠牲を払う）	🏙️	軍事,家族,仕事,師匠,問題
sh	superhero	SuperHero	Special Power,Nemesis,Curse	real-life-superhero,storybook-superhero,fantasy-superhero,peoples-superhero,comic-book-superhero	The protagonist has a special power and has a nemesis and pays for some kind of price (trials, curses, etc.)	主人公は異能を持っており宿敵がいて何らかの代償を支払っている（試練や屈服する呪い等）	💪	実生活,絵本,幻想,大衆,漫画
